message,label
show my card off,1.00
activate bank card,0.00
can you help me to overcome master card begining,0.00
assist me to check me my my balance,12.00
can you show card cvv,22.00
please assist to search me my master card begun,0.00
can i on debit card active keys,0.00
come with visa card details,16.00
can you please obtain me my bank card status,19.00
can you please search visa card disabled,1.00
can you please overcome contact no,20.00
assist me to prepare me cost inquiry of credit card,10.00
help me to no longer want credit card passcode,1.00
can you help me to come with whether or not my account is enabled,11.00
get my till_year,22.00
please can you help me to catch me visa card balance,12.00
help me to Change my master card pass number,24.00
please assist me to catch me my my Account details,13.00
please help me to obtain me master card enabled,0.00
assist me to provide me Account number bal,12.00
get my Account number adjusted,5.00
help me to turn to account number,5.00
assist to develop a call for card,2.00
please can you help me to correct me permenant address,5.00
How can i be get me my card request status showed?,18.00
search my google mail id,21.00
what are the ways for activation bank card pin,0.00
can you please obtain acc details,13.00
can you please provide me bank card fees,10.00
can you please overcome me my till year,22.00
catch me my account details,13.00
can you help me to provide me my 14 activities,27.00
can you get expiry year adjusted,5.00
can you obtain my balance,12.00
help me to come with master card alter,24.00
present me delineation,32.00
please help me to get my contact no transited,4.00
can you please get pass-word corrected,7.00
Where to show 1 my a/c activity summary for my a/c?,27.00
please assist me to Change my card activation keys,24.00
please help me to turn on debit card atm password,0.00
Begin over!,31.00
can you help me to come with fees inquiry of card,10.00
can you please generate recourse for card,2.00
help me to prepare pass-code,22.00
please can you help me to surrogate username,8.00
I want someone to help me obtain 10 a/c activity history and summary for every activity of my account,27.00
How do I report the stolen of my master card?,25.00
check my acc details,13.00
How can i be get a offer for card brought?,2.00
please can you help me to turn to me username,8.00
please assist me to display me email id,21.00
assist me to overcome expiry month,22.00
please assist to adjust my email id,5.00
get me help to Replace my credit card pass number,24.00
can you send my money,26.00
can you help me to prepare me my visa card recoup,24.00
How can i be get inquiry for card provoked?,2.00
Where to give 3 my accounts activity history for a/c?,27.00
please help me to surrogate expiry year,5.00
assist me to overcome my mobile number,20.00
can you help me to prepare me till_year,22.00
can you help me to catch me my bank card status,19.00
get me Account number,14.00
can you help me to find me my charges inquiry of master card,10.00
please assist me to show balance of acc no,12.00
help me to check me my a card application status,18.00
please help me to adjust me my pass-code,6.00
please assist to initiate recourse for card,2.00
please look through and tell me whether my account is disabled,11.00
please whip up a desire for card,2.00
can i active my master card active keys,0.00
can you overcome me my visa card revoking,1.00
please can you help me to give charges inquiry of atm card,10.00
please get me my passcode corrected,6.00
please assist to come with me my credit card restore,24.00
can you prepare my till_month,22.00
Let me see,30.00
I have loss my debit card,25.00
please can you help me to obtain account details,13.00
can i initiating visa card pin,0.00
Replace my master card atm password,24.00
can you get me my permenant addr modulated,5.00
bear visa card call,2.00
I have theft credit card and I want to deactivate it,25.00
please check me my card call status,18.00
please get acc no adjusted,5.00
please assist me to surrogate card num,5.00
please assist me to show my addr,15.00
help me to setup my atm card activation keys,0.00
assist me to give my email address,21.00
search me my atm card mend,24.00
assist to Change my debit card passcode,24.00
can you help me to provoke a offer for card,2.00
Is there any charge for registering a complaint for my credit card loss?,25.00
assist to show my till month,22.00
please catch me my pass-code,22.00
please can you help me to get my master card charges,10.00
please can you help me to correct me acc number,5.00
obtain debit card displace,24.00
find my a card call status,18.00
help me to show cvv,22.00
assist to find me user name,23.00
please help me to provide my fees inquiry of card,10.00
assist to show me my pass code,22.00
can you help me to give addr,15.00
How can i be get a appeal for card induced?,2.00
can you please obtain user name,23.00
please help me to bear offer for card,2.00
what are the steps to get charges inquiry for master card,10.00
please provide cvv,22.00
please assist me to search a card offer status,18.00
please assist me to send money,26.00
can you help me to show me my till month,22.00
can i on my debit card activation keys,0.00
can you help me to display my debit card reestablish,24.00
help me to setoff debit card passcode,1.00
get me help to Replace credit card activation keys,24.00
hell ya please help and get me some time,39.00
display me my expiry month,22.00
please overcome postal addr,15.00
please assist to display my bal of credit card,12.00
please can you help me to come with card desire status,18.00
please can you help me to adjust me till month,5.00
can you please get my mobile num transited,4.00
can you get me addr changed?,3.00
can you please see through and tell me whether its is 0,11.00
