,message,Category,label
0,show my card off,Banking_Cancel_Card,1
1,activate bank card,Banking_Activate_Card,0
2,can you help me to overcome master card begining,Banking_Activate_Card,0
3,assist me to check me my my balance,Banking_Get_Account_Balance,12
4,can you show card cvv,Banking_Get_Secure_Info,22
5,please assist to search me my master card begun,Banking_Activate_Card,0
6,can i on debit card active keys,Banking_Activate_Card,0
7,come with visa card details,Banking_Get_Card_Details,16
8,can you please obtain me my bank card status,Banking_Get_Card_Status,19
9,can you please search visa card disabled,Banking_Cancel_Card,1
10,can you please overcome contact no,Banking_Get_Contact,20
11,assist me to prepare me cost inquiry of credit card,Banking_Fee_Inquiry,10
12,help me to no longer want credit card passcode,Banking_Cancel_Card,1
13,can you help me to come with whether or not my account is enabled,Banking_Get_Acc_Status,11
14,get my till_year,Banking_Get_Secure_Info,22
15,please can you help me to catch me visa card balance,Banking_Get_Account_Balance,12
16,help me to Change my master card pass number,Banking_Replace_Card,24
17,please assist me to catch me my my Account details,Banking_Get_Account_Details,13
18,please help me to obtain me master card enabled,Banking_Activate_Card,0
19,assist me to provide me Account number bal,Banking_Get_Account_Balance,12
20,get my Account number adjusted,Banking_Change_Credential_Info,5
21,help me to turn to account number,Banking_Change_Credential_Info,5
22,assist to develop a call for card,Banking_Card_Request,2
23,please can you help me to correct me permenant address,Banking_Change_Credential_Info,5
24,How can i be get me my card request status showed?,Banking_Get_Card_Request_Status,18
25,search my google mail id,Banking_Get_Email,21
26,what are the ways for activation bank card pin,Banking_Activate_Card,0
27,can you please obtain acc details,Banking_Get_Account_Details,13
28,can you please provide me bank card fees,Banking_Fee_Inquiry,10
29,can you please overcome me my till year,Banking_Get_Secure_Info,22
30,catch me my account details,Banking_Get_Account_Details,13
31,can you help me to provide me my 14 activities,Banking_View_Activity,27
32,can you get expiry year adjusted,Banking_Change_Credential_Info,5
33,can you obtain my balance,Banking_Get_Account_Balance,12
34,help me to come with master card alter,Banking_Replace_Card,24
35,present me delineation,Bot_Desc,32
36,please help me to get my contact no transited,Banking_Change_Contact,4
37,can you please get pass-word corrected,Banking_Change_Password,7
38,Where to show 1 my a/c activity summary for my a/c?,Banking_View_Activity,27
39,please assist me to Change my card activation keys,Banking_Replace_Card,24
40,please help me to turn on debit card atm password,Banking_Activate_Card,0
41,Begin over!,Bot_Control_Start_Over,31
42,can you help me to come with fees inquiry of card,Banking_Fee_Inquiry,10
43,can you please generate recourse for card,Banking_Card_Request,2
44,help me to prepare pass-code,Banking_Get_Secure_Info,22
45,please can you help me to surrogate username,Banking_Change_Username,8
46,I want someone to help me obtain 10 a/c activity history and summary for every activity of my account,Banking_View_Activity,27
47,How do I report the stolen of my master card?,Banking_Report_Missing_Card,25
48,check my acc details,Banking_Get_Account_Details,13
49,How can i be get a offer for card brought?,Banking_Card_Request,2
50,please can you help me to turn to me username,Banking_Change_Username,8
51,please assist me to display me email id,Banking_Get_Email,21
52,assist me to overcome expiry month,Banking_Get_Secure_Info,22
53,please assist to adjust my email id,Banking_Change_Credential_Info,5
54,get me help to Replace my credit card pass number,Banking_Replace_Card,24
55,can you send my money,Banking_Transfer_Money,26
56,can you help me to prepare me my visa card recoup,Banking_Replace_Card,24
57,How can i be get inquiry for card provoked?,Banking_Card_Request,2
58,Where to give 3 my accounts activity history for a/c?,Banking_View_Activity,27
59,please help me to surrogate expiry year,Banking_Change_Credential_Info,5
60,assist me to overcome my mobile number,Banking_Get_Contact,20
61,can you help me to prepare me till_year,Banking_Get_Secure_Info,22
62,can you help me to catch me my bank card status,Banking_Get_Card_Status,19
63,get me Account number,Banking_Get_Account_Number,14
64,can you help me to find me my charges inquiry of master card,Banking_Fee_Inquiry,10
65,please assist me to show balance of acc no,Banking_Get_Account_Balance,12
66,help me to check me my a card application status,Banking_Get_Card_Request_Status,18
67,please help me to adjust me my pass-code,Banking_Change_Passcode,6
68,please assist to initiate recourse for card,Banking_Card_Request,2
69,please look through and tell me whether my account is disabled,Banking_Get_Acc_Status,11
70,please whip up a desire for card,Banking_Card_Request,2
71,can i active my master card active keys,Banking_Activate_Card,0
72,can you overcome me my visa card revoking,Banking_Cancel_Card,1
73,please can you help me to give charges inquiry of atm card,Banking_Fee_Inquiry,10
74,please get me my passcode corrected,Banking_Change_Passcode,6
75,please assist to come with me my credit card restore,Banking_Replace_Card,24
76,can you prepare my till_month,Banking_Get_Secure_Info,22
77,Let me see,Bot_Control_Standby,30
78,I have loss my debit card,Banking_Report_Missing_Card,25
79,please can you help me to obtain account details,Banking_Get_Account_Details,13
80,can i initiating visa card pin,Banking_Activate_Card,0
81,Replace my master card atm password,Banking_Replace_Card,24
82,can you get me my permenant addr modulated,Banking_Change_Credential_Info,5
83,bear visa card call,Banking_Card_Request,2
84,I have theft credit card and I want to deactivate it,Banking_Report_Missing_Card,25
85,please check me my card call status,Banking_Get_Card_Request_Status,18
86,please get acc no adjusted,Banking_Change_Credential_Info,5
87,please assist me to surrogate card num,Banking_Change_Credential_Info,5
88,please assist me to show my addr,Banking_Get_Address,15
89,help me to setup my atm card activation keys,Banking_Activate_Card,0
90,assist me to give my email address,Banking_Get_Email,21
91,search me my atm card mend,Banking_Replace_Card,24
92,assist to Change my debit card passcode,Banking_Replace_Card,24
93,can you help me to provoke a offer for card,Banking_Card_Request,2
94,Is there any charge for registering a complaint for my credit card loss?,Banking_Report_Missing_Card,25
95,assist to show my till month,Banking_Get_Secure_Info,22
96,please catch me my pass-code,Banking_Get_Secure_Info,22
97,please can you help me to get my master card charges,Banking_Fee_Inquiry,10
98,please can you help me to correct me acc number,Banking_Change_Credential_Info,5
99,obtain debit card displace,Banking_Replace_Card,24
100,find my a card call status,Banking_Get_Card_Request_Status,18
101,help me to show cvv,Banking_Get_Secure_Info,22
102,assist to find me user name,Banking_Get_Username,23
103,please help me to provide my fees inquiry of card,Banking_Fee_Inquiry,10
104,assist to show me my pass code,Banking_Get_Secure_Info,22
105,can you help me to give addr,Banking_Get_Address,15
106,How can i be get a appeal for card induced?,Banking_Card_Request,2
107,can you please obtain user name,Banking_Get_Username,23
108,please help me to bear offer for card,Banking_Card_Request,2
109,what are the steps to get charges inquiry for master card,Banking_Fee_Inquiry,10
110,please provide cvv,Banking_Get_Secure_Info,22
111,please assist me to search a card offer status,Banking_Get_Card_Request_Status,18
112,please assist me to send money,Banking_Transfer_Money,26
113,can you help me to show me my till month,Banking_Get_Secure_Info,22
114,can i on my debit card activation keys,Banking_Activate_Card,0
115,can you help me to display my debit card reestablish,Banking_Replace_Card,24
116,help me to setoff debit card passcode,Banking_Cancel_Card,1
117,get me help to Replace credit card activation keys,Banking_Replace_Card,24
118,hell ya please help and get me some time,affirm,39
119,display me my expiry month,Banking_Get_Secure_Info,22
120,please overcome postal addr,Banking_Get_Address,15
121,please assist to display my bal of credit card,Banking_Get_Account_Balance,12
122,please can you help me to come with card desire status,Banking_Get_Card_Request_Status,18
123,please can you help me to adjust me till month,Banking_Change_Credential_Info,5
124,can you please get my mobile num transited,Banking_Change_Contact,4
125,can you get me addr changed?,Banking_Change_Address,3
126,can you please see through and tell me whether its is 0,Banking_Get_Acc_Status,11
127,Where to obtain any activity history for accounts?,Banking_View_Activity,27
128,help me to turn to passwrd,Banking_Change_Password,7
129,assist me to setup debit card pin num,Banking_Activate_Card,0
130,turning off debit card pin,Banking_Cancel_Card,1
131,hand out explication,Bot_Desc,32
132,please assist to cause appeal for card,Banking_Card_Request,2
133,provoke atm card offer,Banking_Card_Request,2
134,assist me to catch whether my account is on,Banking_Get_Acc_Status,11
135,please overcome a card appeal status,Banking_Get_Card_Request_Status,18
136,catch credit card summary,Banking_Get_Card_Details,16
137,help me to get fees inquiry for my atm card,Banking_Fee_Inquiry,10
138,assist me to prepare my atm card restitute,Banking_Replace_Card,24
139,please assist to provide me my credit card_no,Banking_Get_Card_Number,17
140,can you help me to provide my expiry month,Banking_Get_Secure_Info,22
141,engender a requisition for card,Banking_Card_Request,2
142,assist to display my atm card status,Banking_Get_Card_Status,19
143,assist to display whether my account is initiated,Banking_Get_Acc_Status,11
144,can you help me to catch my password,Banking_Get_Secure_Info,22
145,please give card cvv,Banking_Get_Secure_Info,22
146,can you please obtain me my till_year,Banking_Get_Secure_Info,22
147,what are the procedures for Replace my card pass number,Banking_Replace_Card,24
148,catch me master card regain,Banking_Replace_Card,24
